id,organization_id,user_id,name,folder,filename,path,extension,disk,created_at,updated_at
32,,,www.thrivepetcare.com,screenshots,www.thrivepetcare.com,screenshots/www.thrivepetcare.com,png,r2,2024-05-03 21:40:19,2024-05-03 21:40:19
33,,,www.utahredwoodvet.com,screenshots,www.utahredwoodvet.com,screenshots/www.utahredwoodvet.com,png,r2,2024-05-03 21:40:21,2024-05-03 21:40:21
34,,,minidoodledogs.com,screenshots,minidoodledogs.com,screenshots/minidoodledogs.com,png,r2,2024-05-03 21:40:22,2024-05-03 21:40:22
35,,,Sandy-Animal-Clinic-Veterinarian-Paul-Edmonds-Danielle-Macdonald (1),screenshots,q786krEvEMokAwJLI4BSJCtdX5nK7HCbwbv31h2O.png,screenshots/q786krEvEMokAwJLI4BSJCtdX5nK7HCbwbv31h2O.png,png,r2,2024-05-03 21:40:23,2024-05-11 20:13:47
36,,,animalcaredaybreak.com,screenshots,animalcaredaybreak.com,screenshots/animalcaredaybreak.com,png,r2,2024-05-03 21:40:25,2024-05-03 21:40:25
37,,,www.medvet.com,screenshots,www.medvet.com,screenshots/www.medvet.com,png,r2,2024-05-03 21:40:27,2024-05-03 21:40:27
38,,,www.kaysvilleveterinaryhospital.com,screenshots,www.kaysvilleveterinaryhospital.com,screenshots/www.kaysvilleveterinaryhospital.com,png,r2,2024-05-03 21:40:29,2024-05-03 21:40:29
39,,,Wilson-Veterinary-Hospital-–-Just-another-WebDVM-4-site,screenshots,WXv5jV7FWybVcYbhZCMoBBwcDeKWmkeZ4gcpwBP0.png,screenshots/WXv5jV7FWybVcYbhZCMoBBwcDeKWmkeZ4gcpwBP0.png,png,r2,2024-05-03 21:40:30,2024-05-11 20:14:33
40,,,www.animalcrackersvet.com,screenshots,www.animalcrackersvet.com,screenshots/www.animalcrackersvet.com,png,r2,2024-05-03 21:40:32,2024-05-03 21:40:32
41,,,Welcome-to-your-Veterinary-Hospital-in-Centerville-UT,screenshots,iBZdGKo6ylJiaD1LNaXvXQZ6XsJ5mlFGNkyUPaF9.png,screenshots/iBZdGKo6ylJiaD1LNaXvXQZ6XsJ5mlFGNkyUPaF9.png,png,r2,2024-05-03 21:40:33,2024-05-11 20:14:55
42,,,www.spayandneuterofslc.com,screenshots,www.spayandneuterofslc.com,screenshots/www.spayandneuterofslc.com,png,r2,2024-05-03 21:40:35,2024-05-03 21:40:35
43,,,www.saltlakeveterinarian.com,screenshots,www.saltlakeveterinarian.com,screenshots/www.saltlakeveterinarian.com,png,r2,2024-05-03 21:40:36,2024-05-03 21:40:36
