id,organization_id,user_id,name,folder,filename,path,extension,disk,created_at,updated_at
27,,,Veterinarians-in-Taylorsville-UT-VCA-All-Pet-Animal-Hospital-Taylorsville,screenshots,typI82737bYXe0ZHVl3uUQTwJKgnvdtOFGQeKNcn.png,screenshots/typI82737bYXe0ZHVl3uUQTwJKgnvdtOFGQeKNcn.png,png,r2,2024-05-03 21:40:10,2024-05-15 04:27:59
28,,,Animal-Hospital-in-West-Valley-City-UT-Hunter-Animal-Hospital,screenshots,kFcGAYSdrJKiJ4CvvCGzqcqJoxnRWmHDadNtPPmO.png,screenshots/kFcGAYSdrJKiJ4CvvCGzqcqJoxnRWmHDadNtPPmO.png,png,r2,2024-05-03 21:40:12,2024-05-11 20:13:26
29,,,www.midvalleyanimalclinic.com,screenshots,www.midvalleyanimalclinic.com,screenshots/www.midvalleyanimalclinic.com,png,r2,2024-05-03 21:40:14,2024-05-03 21:40:14
30,,,bluepearlvet.com,screenshots,bluepearlvet.com,screenshots/bluepearlvet.com,png,r2,2024-05-03 21:40:16,2024-05-03 21:40:16
31,,,Veterinarians-in-Park-City-UT-VCA-Powder-Paws-Animal-Hospital,screenshots,p3mcOYzA7KVcCawxZpi3GznDBde5A0sAaWI553Cb.png,screenshots/p3mcOYzA7KVcCawxZpi3GznDBde5A0sAaWI553Cb.png,png,r2,2024-05-03 21:40:18,2024-05-15 04:28:48
32,,,www.thrivepetcare.com,screenshots,www.thrivepetcare.com,screenshots/www.thrivepetcare.com,png,r2,2024-05-03 21:40:19,2024-05-03 21:40:19
33,,,www.utahredwoodvet.com,screenshots,www.utahredwoodvet.com,screenshots/www.utahredwoodvet.com,png,r2,2024-05-03 21:40:21,2024-05-03 21:40:21
35,,,Sandy-Animal-Clinic-Veterinarian-Paul-Edmonds-Danielle-Macdonald (1),screenshots,q786krEvEMokAwJLI4BSJCtdX5nK7HCbwbv31h2O.png,screenshots/q786krEvEMokAwJLI4BSJCtdX5nK7HCbwbv31h2O.png,png,r2,2024-05-03 21:40:23,2024-05-11 20:13:47
36,,,animalcaredaybreak.com,screenshots,animalcaredaybreak.com,screenshots/animalcaredaybreak.com,png,r2,2024-05-03 21:40:25,2024-05-03 21:40:25
37,,,www.medvet.com,screenshots,www.medvet.com,screenshots/www.medvet.com,png,r2,2024-05-03 21:40:27,2024-05-03 21:40:27
38,,,www.kaysvilleveterinaryhospital.com,screenshots,www.kaysvilleveterinaryhospital.com,screenshots/www.kaysvilleveterinaryhospital.com,png,r2,2024-05-03 21:40:29,2024-05-03 21:40:29
39,,,Wilson-Veterinary-Hospital-–-Just-another-WebDVM-4-site,screenshots,WXv5jV7FWybVcYbhZCMoBBwcDeKWmkeZ4gcpwBP0.png,screenshots/WXv5jV7FWybVcYbhZCMoBBwcDeKWmkeZ4gcpwBP0.png,png,r2,2024-05-03 21:40:30,2024-05-11 20:14:33
40,,,www.animalcrackersvet.com,screenshots,www.animalcrackersvet.com,screenshots/www.animalcrackersvet.com,png,r2,2024-05-03 21:40:32,2024-05-03 21:40:32
41,,,Welcome-to-your-Veterinary-Hospital-in-Centerville-UT,screenshots,iBZdGKo6ylJiaD1LNaXvXQZ6XsJ5mlFGNkyUPaF9.png,screenshots/iBZdGKo6ylJiaD1LNaXvXQZ6XsJ5mlFGNkyUPaF9.png,png,r2,2024-05-03 21:40:33,2024-05-11 20:14:55
42,,,www.spayandneuterofslc.com,screenshots,www.spayandneuterofslc.com,screenshots/www.spayandneuterofslc.com,png,r2,2024-05-03 21:40:35,2024-05-03 21:40:35
43,,,www.saltlakeveterinarian.com,screenshots,www.saltlakeveterinarian.com,screenshots/www.saltlakeveterinarian.com,png,r2,2024-05-03 21:40:36,2024-05-03 21:40:36
44,,,Home-Mountain-West-Veterinary-Specialists,screenshots,ZDJwgfAhrdzabU0Tpqg234Wa8khDcgerxwwXCujZ.png,screenshots/ZDJwgfAhrdzabU0Tpqg234Wa8khDcgerxwwXCujZ.png,png,r2,2024-05-03 21:40:38,2024-05-11 20:15:24
45,,,no-website,screenshots,vVgVFAVtzyMQaYxlWBf1RcN0CwmEBi9Dv38Vt17h.png,screenshots/vVgVFAVtzyMQaYxlWBf1RcN0CwmEBi9Dv38Vt17h.png,png,r2,2024-05-03 21:40:39,2024-05-11 20:15:44
46,,,TooeleVetClinic.com,screenshots,TooeleVetClinic.com,screenshots/TooeleVetClinic.com,png,r2,2024-05-03 21:40:41,2024-05-03 21:40:41
47,,,Home-Humane-Society-of-Utah,screenshots,PsWcQIFaMNCWA6NAgXTWoTBvWvSdbPaOYgeU6Jm7.png,screenshots/PsWcQIFaMNCWA6NAgXTWoTBvWvSdbPaOYgeU6Jm7.png,png,r2,2024-05-03 21:40:43,2024-05-14 22:44:53
48,,,Veterinarians-in-Cottonwood-Heights-UT-VCA-Willow-Creek-Pet-Center,screenshots,RzG1yOlMqpRglfpafmLQdARWq9e7sUg4W8IcZc3m.png,screenshots/RzG1yOlMqpRglfpafmLQdARWq9e7sUg4W8IcZc3m.png,png,r2,2024-05-03 21:40:45,2024-05-15 04:29:51
49,,,www.healthypetsmw.com,screenshots,www.healthypetsmw.com,screenshots/www.healthypetsmw.com,png,r2,2024-05-03 21:40:47,2024-05-03 21:40:47
50,,,www.thrivepetcare.com,screenshots,www.thrivepetcare.com,screenshots/www.thrivepetcare.com,png,r2,2024-05-03 21:40:49,2024-05-03 21:40:49
51,,,www.copperviewanimalhospital.com,screenshots,www.copperviewanimalhospital.com,screenshots/www.copperviewanimalhospital.com,png,r2,2024-05-03 21:40:51,2024-05-03 21:40:51
52,,,www.bayviewanimalhospital.net,screenshots,www.bayviewanimalhospital.net,screenshots/www.bayviewanimalhospital.net,png,r2,2024-05-03 21:40:53,2024-05-03 21:40:53
54,,,VetIQ-Petcare-Veterinarian-in-Centerville-UT,screenshots,KDsTtewPBxEdxMVJERC4jzQYUo6sjiMRD1VMyADE.png,screenshots/KDsTtewPBxEdxMVJERC4jzQYUo6sjiMRD1VMyADE.png,png,r2,2024-05-03 21:40:56,2024-05-14 22:49:46
56,,,Homepage-West-Valley-Veterinary-Clinic,screenshots,pEASzTx7AspQcx7XChjJUdgbcx4yBplxHIzoWdgC.png,screenshots/pEASzTx7AspQcx7XChjJUdgbcx4yBplxHIzoWdgC.png,png,r2,2024-05-03 21:40:59,2024-05-15 04:30:26
57,,,www.banfield.com,screenshots,www.banfield.com,screenshots/www.banfield.com,png,r2,2024-05-03 21:41:01,2024-05-03 21:41:01
58,,,www.eyecareforanimals.com,screenshots,www.eyecareforanimals.com,screenshots/www.eyecareforanimals.com,png,r2,2024-05-03 21:41:03,2024-05-03 21:41:03
59,,,Animal-Medical-Clinic-Veterinary-Care-in-Utah,screenshots,6uq3sveUGG29khA1NvksqkTTmPFapMVdfqpCDaXr.png,screenshots/6uq3sveUGG29khA1NvksqkTTmPFapMVdfqpCDaXr.png,png,r2,2024-05-03 21:41:04,2024-05-15 04:31:11
60,,,southmtnpet.com,screenshots,southmtnpet.com,screenshots/southmtnpet.com,png,r2,2024-05-03 21:41:06,2024-05-03 21:41:06
